id,name,category
1,艾草,4
2,棒棒糖,4
3,八宝粥,4
4,白茶,4
5,扁豆,4
6,布丁,4
7,巴旦木,4
8,饼干,4
9,碧根果肉,4
10,白瓜子,4
11,包裹着猫屎的猫砂,4
12,薄荷叶,4
13,八角,4
14,北京烤鸭,4
15,菠萝,4
16,板栗壳,4
17,槟榔,4
18,菠萝密肉,4
19,菠萝皮,4
20,爆米花,4
21,白米虾,4
22,冰淇淋,4
23,蚌肉,4
24,白砂糖,4
25,白糖,4
26,百香果壳,4
27,包子,4
28,白煮蛋,4
29,葱,4
30,草本植物,4
31,蚕豆,4
32,蚕豆壳,4
33,茨菇,4
34,臭虫,4
35,臭豆腐,4
36,炒花生壳,4
37,炒花生米,4
38,翅尖,4
39,车厘子核,4
40,陈皮,4
41,面条,4
42,叉烧,4
43,叉烧酥,4
44,茶叶,4
45,茶叶蛋壳,4
46,虫,4
47,虫子,4
48,橙子皮,4
49,草莓,4
50,草莓叶,4
51,橙皮,4
52,菜皮,4
53,宠物粪便,4
54,宠物饲料,4
55,粗盐,4
56,苍蝇,4
57,葱油饼,4
58,茶叶渣,4
59,脆枣,4
60,茶渣,4
61,残枝落叶,4
62,大饼,4
63,蛋白,4
64,大白菜,4
65,大白兔奶糖,4
66,多宝鱼骨头,4
67,骨头,4
68,大葱,4
69,豆腐,4
70,豆腐干,4
71,豆腐猫砂,4
72,豆干,4
73,豆杆,4
74,蛋糕,4
75,冬瓜,4
76,冬瓜皮,4
77,冬瓜籽,4
78,蛋黄,4
79,蛋黄酥,4
80,蛋卷,4
81,豆浆渣,4
82,蛋壳,4
83,德克士炸鸡,4
84,大米,4
85,大排,4
86,多肉植物,4
87,冬笋壳,4
88,大蒜皮,4
89,大蒜叶,4
90,蛋挞,4
91,蛋挞皮,4
92,动物粪便,4
93,动物内脏,4
94,动物尸体,4
95,凋谢的 鲜花,4
96,鲜花,4
97,豆芽,4
98,枣,4
99,大闸蟹,4
100,大闸蟹壳,4
101,海带子壳,4
102,豆制品,4
103,鹅骨头,4
104,阿胶,4
105,方便面面条,4
106,凤梨皮,4
107,凤梨酥,4
108,蜂蜜,4
109,番茄,4
110,番茄梗,4
111,番茄酱,4
112,番茄沙司,4
113,废弃食用油,4
114,废弃调味料,4
115,废弃植物,4
116,粉丝,4
117,番茄皮,4
118,瓜子,4
119,锅巴,4
120,干脆面,4
121,果冻,4
122,丁香,4
123,鸽子粪,4
124,瓜果,4
125,干果仁,4
126,干桂圆壳,4
127,桂花糕,4
128,干花生壳,4
129,果酱,4
130,莴苣,4
131,狗粮,4
132,咖喱粉,4
133,橄榄核,4
134,干辣椒,4
135,干面粉,4
136,干面条,4
137,果皮,4
138,桂皮,4
139,枸杞,4
140,过期大米,4
141,过期巧克力,4
142,过期食品,4
143,过期糖,4
144,过期调味料,4
145,蛤肉,4
146,干树叶,4
147,灌汤包,4
148,鳜鱼,4
149,桂圆干,4
150,桂圆核,4
151,桂圆壳,4
152,瓜子壳,4
153,瓜子皮,4
154,瓜子仁,4
155,甘蔗渣,4
156,花瓣,4
157,汉堡,4
158,花草茶渣,4
159,红肠,4
160,花茶渣,4
161,黄豆,4
162,海胆,4
163,海带,4
164,红豆,4
165,红豆糕,4
166,海底捞锅底,4
